Destino Turístico	Historia/Información	Coordenada/Enlace Principal	Actividad 1	Enlace 1	Actividad 2	Enlace 2	Actividad 3	Enlace 3
Centro Recreacional Pedregal Río	Ofrece piscinas, juegos infantiles, zona de comidas, salón de eventos y hospedaje. Ideal para familias y amigos, con actividades recreativas y de esparcimiento.	https://maps.app.goo.gl/AQiC46YC887B55iv7	Excelentes piscinas, toboganes e increíbles atracciones para disfrutar en familia.	https://maps.app.goo.gl/1nATrpRwcNeS4bNA7	Excelente hospedaje, luego de un largo día de disfrutar con tu familia.	https://maps.app.goo.gl/jE3nPheBnVtJABzt6		
Páramo Paja Blanca	Área natural protegida vital para la región por su biodiversidad y regulación del ciclo del agua. Declarado Parque Natural Regional en 2015, alberga especies endémicas y en peligro de extinción.	https://maps.app.goo.gl/noNMQWBFNX8JfRdf8	Eco recorridos: Explorar el páramo a través de senderos.		Observar flora y fauna.		Participar en siembra de árboles.	
Centro Recreacional Un Sol Para Todos Comfamiliar Nariño	Parque acuático y centro recreativo con piscinas, deportes, karts, paseos a caballo, alojamiento y salones para eventos. Ubicado a 45 minutos de Pasto.	https://maps.app.goo.gl/dZbqePAzaPEt2rty8	Karts: interesante pista para competencias.	https://maps.app.goo.gl/ddahSvwaHEM9SNYb7	Piscinas: hermosas piscinas con toboganes.	https://maps.app.goo.gl/SgtgSFjFcinsZNhSA	Cascada El Salado: caída de agua natural para ecoturismo y senderismo.	https://maps.app.goo.gl/z1RbbNd38NLYyPNV9
Laguna Coba Negra	Ubicada en las faldas del volcán Galeras, destino ecoturístico enigmático y tranquilo, parte del Santuario de Flora y Fauna Galeras.	https://maps.app.goo.gl/zk5CGdJXn5cee8Pz7	Observación de flora y fauna.		Caminatas y senderismo.		Paisajismo y fotografía.	
Haciendas Cafeteras de Buesaco	Reconocidas por producir algunos de los mejores cafés del mundo. Ofrecen recorridos guiados, degustación y actividades ecoturísticas.	https://maps.app.goo.gl/UWK3DRJdzDiy75xK8	Recorridos guiados por cultivos de café.		Degustación de café.		Actividades ecoturísticas y observación de la naturaleza.	
Sombreros de Toquilla (Sandona)	Producto artesanal ecuatoriano, muy relacionado con Colombia por su cercanía y producción en la frontera. Hechos a mano con fibra de palma.	https://maps.app.goo.gl/s7LSfQHJJbQj44Ju8	Elaboración artesanal de sombreros.		Aprendizaje de técnicas tradicionales.		Venta y comercialización de sombreros de Toquilla.	
Balneario Los Rosales	Espacio recreativo en Samaniego, rodeado de naturaleza y junto al río Pacual. Piscinas, zonas verdes y espacios al aire libre.	https://maps.app.goo.gl/uLQcEze1rwPVK6dD7	Piscinas y chapuzón en familia.	https://maps.app.goo.gl/uKoH1nj7Wk7nZNvt6	Caminatas ecológicas y contacto con la naturaleza.	https://maps.app.goo.gl/fFpsHbnEJs3m3pS47		
Mirador Chimayoy	Mirador dentro del Parque Natural Chimayoy, cerca de Pasto. Espacio de educación, conservación ecológica y turismo rural.	https://maps.app.goo.gl/8XtBXBMCvJZ9tBhU7	Senderismo ecológico hasta el mirador.	https://maps.app.goo.gl/8XtBXBMCvJZ9tBhU7	Contemplación panorámica desde el mirador.		Picnic o descanso en zonas lúdicas.	
Piedra de Bolívar	Sitio histórico en Consacá, conmemora la Batalla de Bomboná. Símbolo de la independencia y atractivo turístico por su belleza natural.	https://maps.app.goo.gl/pUj7LvkgTxJg2Jpy5	Caminata ecológica por senderos naturales.	https://maps.app.goo.gl/MWws8XghDjarmpEZ6	Visita al monumento y conocimiento histórico.	https://maps.app.goo.gl/pkXZT6gpeQ6g6QxH7	Turismo rural: visita a fincas cafeteras.	https://maps.app.goo.gl/vKfRDN5vvqdeVNLTA
Páramo de Frailejones	Ecosistema de alta montaña típico de los Andes, abundancia de frailejones, considerado sagrado por pueblos indígenas.	https://maps.app.goo.gl/GBWXq2q6S7uPpggz7	Senderismo por el páramo.	https://maps.app.goo.gl/Lxc3RiZxdegdHj7f8	Vista a paisaje de frailejones.	https://maps.app.goo.gl/K43KXDSyGD6zpc4m7		
